warranty,warranty_label
Sin garantía,Sin garantía
1 año,1 año
Todos nuestros porductos cuentan con garantia,Con garantía
Sí,Con garantía
El producto se encuentra en el estado descripto,Sin garantía
Sí,Con garantía
Sí,Con garantía
Numero de seguimiento en caso de envío por correo.,Sin garantía
6 MESES,4–6 meses
SI Y MI REPUTACION,Reputación del vendedor
"Todos los articulos tienen garantia por defectos de fabricacion, no asi por mal uso o maltrato. Por cualquier inconveniente que pueda tener la empresa se hara cargo de reparar o reemplazar dicho producto siempre y cudndo conserve su envase original",Garantía de fábrica
Sin garantía,Sin garantía
Sí,Con garantía
Sí,Con garantía
"¡¡¡Garantía de satisfacción!!! O sea que si al retirarlo y verlo usted no esta conforme con el producto que recibe, cancelamos sin ninguna complicación la operación.",Con garantía
Garantia oficial Rusty,Garantía de fábrica
Sin garantía,Sin garantía
SI.,Con garantía
Sin garantía,Sin garantía
Garantía de 12 meses.,12+ meses
NUESTROS LIBROS SON ORIGINALES Y CUENTAN CON GARANTIA,Con garantía
Sí,Con garantía
Todos los archivos se prueban antes de ser enviados,Sin garantía
Sin garantía,Sin garantía
zona caballito .,Sin garantía
30 Dias de Garantia // Producto 100% Original // Importado de USA // MercadoLider Platinum // Calificaciones 100% Positivas!!!,Hasta 3 meses
Ver reputacion.,Reputación del vendedor
SI,Con garantía
NUESTROS PRODUCTOS ESTAN 100% GARANTIZADOS,Con garantía
"El ejemplar es revisado en detalle antes de ser publicado, constatando que no posea ningún tipo de falla; y en el caso de tenerla ésta se verá aclarada en la descripción correspondiente. El comprador podrá corroborarlo al momento de la entrega.",Sin garantía
La mercaderia tiene 6 meses de garantia,4–6 meses
3 MESES DE GARANTIA DIRECTO DE FABRICA.,Hasta 3 meses
Fotos reales. Maximo cuidado en el embalaje.,Sin garantía
Sí,Con garantía
Sí,Con garantía
NUESTROS PRODUCTOS ESTAN 100% GARANTIZADOS,Con garantía
6 meses por el fabricante,4–6 meses
Sí,Con garantía
Sí,Con garantía
Sin garantía,Sin garantía
Sí,Con garantía
3 meses de garantia,Hasta 3 meses
3 Meses de Garantia,Hasta 3 meses
TOTAL !!!!,Con garantía
TODOS MIS ARTICULOS SON 100 % LEGITIMOS Y ORIGINALES !!!!,Sin garantía
Sí,Con garantía
Sin garantía,Sin garantía
30 DIAS,Hasta 3 meses
ESTADO MUY BUENO .,Sin garantía
OBRA COMPLETA,Sin garantía
Sin garantía,Sin garantía
Garantia de funcionamiento....,Con garantía
"Nuevos, cerrados, con celofán, etiqueta de Afip y fecha de vencimiento. Garantía total de producto legítimo de Perfumería Mundial Inc.®",Con garantía
fallas de fabricacion,Garantía de fábrica
12 meses,12+ meses
"Las fotos corresponden al ejemplar publicado, y éste se encuentra tal como se especifica en la descripción luego de haber sido cuidadosamente revisado. En caso de verificarse alguna divergencia, se podrá reclamar la devolución del importe pagado.",Sin garantía
1 año de Garantía únicamente por desperfectos de fabricación. El cliente puede optar por el reembolso del monto correspondiente o el cambio por un producto similar.,1 año
Si.,Con garantía
3 MESES gtia del fabricante,Hasta 3 meses
La garantia solo responde en casos de fallas de impresion y/o encuadernacion del libro.,Garantía de fábrica
tiene un vencimiento de 60 dias tomando como referencia la fecha de compra.,Hasta 3 meses
los gastos adicionales de envio corren por cuenta del comprador,Sin garantía
Sí,Con garantía
6 meses,4–6 meses
10 DIAS,Hasta 3 meses
Sí,Con garantía
6 meses,4–6 meses
"SOLO SE ACEPTARAN RECLAMOS DENTRO DE LAS 48HS, DE ENTREGADO EL PRODUCTO, SOLO POR DEFECTOS DE FABRICACION  Y SE RESTITUIRA POR OTRO EXACTAMANETE IGUAL, SIN POSIBILIDAD DE CAMBIAR DE ARTICULO O EN SU DEFECTO POR EL QUE DISPONGA LA FABRICA.",Garantía de fábrica
"Por fallas o cualquier tipo de disconformidad con el producto, se cambia o devuelve el dinero, incluyendo gastos de envío, si los hubiere.",Con garantía
Sin garantía,Sin garantía
MI REPUTACION,Reputación del vendedor
30 dias,Hasta 3 meses
Garantía de por vida de OLD-RIDER-GARAGE,5+ años
Sí,Con garantía
Sí,Con garantía
se entregan los articulos publicados.,Sin garantía
"Garantía de 1 mes, con uso apropiado, a partir de la fecha de entrega. De acuerdo a condiciones de la empresa",Hasta 3 meses
6 Meses Garantía del Fabricante/Importador,4–6 meses
Sí,Con garantía
"100% ORIGINAL, SE RETIRA ZONA DE OBELISCO Y/O LOCALIDAD DE RAMOS MEJIA, SE HACEN ENVIOS A TODO EL PAIS POR MERCADO ENVIOS, ACEPTO MERCADO PAGO , CONSULTAR STOCK ANTES DE OFERTAR",Sin garantía
6 meses de garantia por defecto de fabricacion.,4–6 meses
No vÃ¡lida por desperfectos a causa de una mala instalaciÃ³n y/o colocaciÃ³n,Sin garantía
TODOS NUESTROS ARTÍCULOS ESTÁN 100 % GARANTIZADOS,Con garantía
Sí,Con garantía
Hasta 72hs si el producto demuestra fallas de produccion.,Hasta 3 meses
Sí,Con garantía
Garantía Oficial de 6 Meses,4–6 meses
SE GARANTIZA EL ESTADO OPTIMO DE LOS LIBROS Y SU TOTALIDAD DE SUS PAGINAS,Con garantía
"Si el libro tiene fallas de impresión, se cambia por otro.",Con garantía
Sí,Con garantía
5 Días para productos USADOS!!!,Hasta 3 meses
Sin garantía,Sin garantía
Tiene 7 dias de garantia por fallas de fabricacion.,Hasta 3 meses
La garantia solo cubre fallas de fabrica.,Garantía de fábrica
Excelente Calidad y Fortaleza.,Sin garantía
Garantizada por el Fabricante,Garantía de fábrica
PODES REVISAR EL ARTICULO ANTES DE ABONAR. CHEQUEA MIS CALIFICACIONES COMO VENDEDOR.,Reputación del vendedor
DE + DE 35 AÑOS EN EL RUBRO,Reputación del vendedor
"15 años de experiencia, siempre en el mismo lugar! Sabemos lo que vendemos...",Reputación del vendedor
SI,Con garantía
Coleccionemos_Juntos siempre te trae los mejores productos a los mejores precios!,Sin garantía
SE REVISA AL RETIRAR,Sin garantía
"A cargo del taller de vientos de gonzalez vientos, garantía real, somos profesionales del rubro, ampliamente reconocidos y con referencias comprobables. somos músicos profesionales y testeamos todos los instrumentos y accesorios.",Con garantía
GARANTIA 1 AÑO DADA POR EL IMPORTADOR,1 año
DE MI REPUTACION,Reputación del vendedor
Todos los articulos son nuevos y se entregan en perfecto estado de embalaje.,Sin garantía
con garantia de por vida,5+ años
6 meses.,4–6 meses
Lo revisas al retirar.,Sin garantía
Sin garantía,Sin garantía
en la mano de obra,Sin garantía
"Los archivos tienen 300 dpi y en el caso de los fondos 3600 px de ancho y alto. Se utilizan para decoupage, sublimación, scrapbook, decoración, restauración muebles, vidrieras, tarjeteria, folleteria, diseño, artesanías, servilletas, etc. Pack 2x1!!!",Sin garantía
Si,Con garantía
Si. Leer las condiciones al final de la publicación,Con garantía
Sin garantía,Sin garantía
6 MESES,4–6 meses
Sí,Con garantía
Defectos de las etiquetas.-,Sin garantía
GARANTIA TOTAL AL COMPRADOR / A !!!!!!!!!,Con garantía
si,Con garantía
Sí,Con garantía
Sí,Con garantía
Sin garantía,Sin garantía
Sin garantía,Sin garantía
Si,Con garantía
Sí,Con garantía
DEL FABRICANTE.,Garantía de fábrica
Si no queda conforme con el material al momento de retirar la operación no se concreta y nos calificamos neutro.,Sin garantía
de fecha de fabricacion.,Garantía de fábrica
3 meses,Hasta 3 meses
6 MESES,4–6 meses
(6 Meses)Ud. cuenta con nuestro respaldo ya que somos fabricantes de Maquinarias desde 1945.  Poseemos Taller de Servicio Mecánico de todo tipo de Máquinas Gastronómicas Nacionales e Importadas.,4–6 meses
Contamos con todo el Equipamiento y capacidad Técnica,Sin garantía
90 dias,Hasta 3 meses
2 AÑOS OFICIAL DE CONCESIONARIO HONDA KAIZEN,2 años
Sin garantía,Sin garantía
12 meses,12+ meses
6 meses,4–6 meses
MIS CALIFICACIONES,Reputación del vendedor
TOTALMENTE GARANTIZADOS ESTADO Y CALIDAD.,Con garantía
Todos nuestros productos cuentan con 6 meses de garantía.,4–6 meses
6 Meses,4–6 meses
Garantia unicamente valida X 3 MESES en nuestro local en el barrio de flores de lu a vi de 10 a 13 y de 14 a 18 horas.,Hasta 3 meses
sabados de 10 a 14En caso de envios por moto o envios al interior el comprador debera hacerse cargo de costos de envio hasta flores,Sin garantía
"7 DIAS FECHA FACTURA
MERCADERIA ELECTRONICA NO TIENE GARANTIA",Sin garantía
Sí,Con garantía
Sí,Con garantía
Sin garantía,Sin garantía
SI,Con garantía
Sí,Con garantía
6 meses de garantia,4–6 meses
EN EL MOMENTO DE LA COMPRA,Sin garantía
1 Año de Garantia Oficial,1 año
Si.,Con garantía
Leer las condiciones al final de la publicación,Sin garantía
Sí,Con garantía
Esperamos su compra. Gracias.,Sin garantía
SKF,Sin garantía
6 Meses por fallo de fabricacion,4–6 meses
SI,Con garantía
6 Meses,4–6 meses
6 meses de garantía,4–6 meses
Todos nuestros trabajos incluyen Garantia.,Con garantía
Mas de 13 años en Mercado Libre avalan nuestra trayectoria.,Reputación del vendedor
Sí,Con garantía
Sí,Con garantía
"TODOS NUESTROS ARTICULOS SON ORIGINALES, A MENOS QUE SE MENCIONE LO CONTRARIO, EN LA PUBLICACION.  SATISFACCION GARANTIZADA.",Con garantía
Sí,Con garantía
Sí,Con garantía
DIRECTO DE FABRICA,Garantía de fábrica
Sin garantía,Sin garantía
Sin garantía,Sin garantía
12 meses,12+ meses
Sí,Con garantía
3 meses de garantia,Hasta 3 meses
Garantía Oficial otorgada por el Representante por el termino de 1 (un) año.,1 año
"7 DÍAS DE PRUEBA A PARTIR DE ENTREGADO 
SI HUBIERE DESPERFECTOS DE FABRICACIÓN EN ALGÚN DISCO DVD O BD SE LO SUSTITUIRÁ POR UNO NUEVO A CARGO DEL VENDEDOR.
COMPRA ASEGURADA.",Hasta 3 meses
"TODOS NUESTROS ARTICULOS SON ORIGINALES, A MENOS QUE SE MENCIONE LO CONTRARIO, EN LA PUBLICACION.  SATISFACCION GARANTIZADA.",Con garantía
3 meses,Hasta 3 meses
Garantía por 12 meses ante defectos en el funcionamiento del artículo. Se reparará o se cambiará por uno similar.,12+ meses
Se brinda asesoramiento permanente por e mail o celular para su correcta instalación.,Sin garantía
Se ofrece garantia por fallas de fabrica!,Garantía de fábrica
garantia escrita de 8 meses,7–12 meses
3 MESES,Hasta 3 meses
Todos los productos son originales y cuentan con garantía del fabricante o importador.,Garantía de fábrica
SI,Con garantía
Garantia 6 meses Bomber Argentina,4–6 meses
VENTAS REALIZADAS Y CALIFICACIONES RECIBIDAS,Reputación del vendedor
Si,Con garantía
EL ARTICULO PUBLICADO RESPONDE A LAS CARACTERISTICAS DESCRIPTAS Y ES EL QUE APARECE EN LAS IMAGENES ADJUNTAS.,Sin garantía
*****,Sin garantía
GARANTÍA OFICIAL 1(UN) AÑO-,1 año
CON GARANTIA!!!!,Con garantía
Por fallas de fábrica.,Garantía de fábrica
Garantía 100 % de descripción.,Con garantía
Sí,Con garantía
Sin garantía,Sin garantía
Todos los productos de MOTEGI Racing cuentan con garantia estructural de por vida contra fallas o defectos de fabricacion y 3 años de garantía sobre las terminaciones.,5+ años
"Todos los artículos tienen nuestra garantía por desperfectos de fabricación, no así por mal uso o mal trato.No se aceptara ningún producto sin su caja original.",Garantía de fábrica
"Los libros son revisados previamente a su publicación en Mercado Libre, cualquier detalle a tener en cuenta está especificado en la publicación.",Sin garantía
Confiar 100% en la descripción del producto,Sin garantía
"TODOS MIS PRODUCTOS ESTAN 100 % GARANTIZADOS,DE NO ESTAR CONFORME CON LOS MISMOS   SE REINTEGRARA  EL IMPORTE DEL PRODUCTO,CONTRA DEVOLUCION DEL ARTICULO",Con garantía
1 Año.,1 año
6 MESES,4–6 meses
SE GARANTIZA EL ESTADO OPTIMO DEL LIBRO Y LA TOTALIDAD DE SUS PAGINAS,Con garantía
"CON GARANTÍA TOTAL DE LO QUE DIGO, HAGO Y ESCRIBO. 45 AÑOS DE VENDER MIS LIBROS EN EL MISMO SITIO, AMERITAN TODO MI QUEHACER, Y LO JUSTIFICAN.",Reputación del vendedor
Nuestra experiencia,Reputación del vendedor
GARANTIA OFICIAL,Con garantía
Gastos de envío a cargo del comprador.,Sin garantía
"Buen estado, se verifica al entregar que el libro corresponda a la foto y descripción. La totalidad de nuestro material se encuentra completa y en buen estado. Nuestra reputación en mercado libre avala la calidad de nuestros productos.",Reputación del vendedor
Descarga Digital Garantizada 100% Original,Con garantía
3 MESES,Hasta 3 meses
Sí,Con garantía
Total,Con garantía
6 MESES,4–6 meses
si,Con garantía
cables POWER + USB P/ Impresoras Laser-Inkjet  Universal,Sin garantía
Sí,Con garantía
6 Meses de Garantía,4–6 meses
Cambio de equipo por falla de fabrica dentro de los 5 días y seis (6) meses con nosotros.,4–6 meses
PODES RETIRAR PERSONALMENTE,Sin garantía
Sí,Con garantía
MIS CALIFICACIONES,Reputación del vendedor
6 MESES OTORGADA POR EL FABRICANTE,4–6 meses
FRUIT OF THE LOOM,Sin garantía
Provista por BGH SA.,Garantía de fábrica
SE GARANTIZA LA DESCRIPCCIÓN.,Con garantía
"11 AÑOS VENDIENDO EN MERCADOLIBRE, MIRÁ LOS COMENTARIOS DE MIS COMPRADORES.-",Reputación del vendedor
TODOS nuestros productos tienen garantia por detalles de fabricacion.,Garantía de fábrica
Sin garantía,Sin garantía
Sí,Con garantía
USUARIO PROFESIONAL y MERCADO LIDER GOLD. Con cobertura de riesgo hasta $3000.,Reputación del vendedor
Ver PROGRAMA de PROTECCIÓN al  COMPRADOR en la página principal,Sin garantía
Solo por defecto de fabricación.,Garantía de fábrica
Sin garantía,Sin garantía
IOFIONLINE le brinda 6 meses de garantía,4–6 meses
3 MESES,Hasta 3 meses
Garantía de Fábrica.,Garantía de fábrica
SE GARANTIZA LA DESCRIPCIÓN.,Con garantía
CABALLITOSTORESPORTS garantiza sus productos.,Con garantía
GARANTIA ESCRITA 6 MESES,4–6 meses
si,Con garantía
6 meses de garantia por defecto de fabricacion.,4–6 meses
No vÃ¡lida por desperfectos a causa de una mala instalaciÃ³n y/o colocaciÃ³n,Sin garantía
mas de 20 años en el rubro de los libros,Reputación del vendedor
TOTAL,Con garantía
6 meses,4–6 meses
si,Con garantía
12 MESES,12+ meses
Sin garantía,Sin garantía
6 meses de garantia,4–6 meses
Garantía por falla de fabricación.,Garantía de fábrica
Juego 100% original. Al comprar obtiene soporte para activar el juego.,Sin garantía
MI REPUTACION,Reputación del vendedor
Sin garantía,Sin garantía
Producto nuevo en evase original con codigo unico de fabricacion.,Sin garantía
GARANTIA OFICIAL.,Con garantía
PRODUCTOS 100% GENUINOS GARANTIZADOS,Con garantía
"POR FALLA DEL MATERIAL,SUJETO A VERIFICACION DEL FABRICANTE",Garantía de fábrica
Mis calificaciones.,Reputación del vendedor
La mercaderia tiene 6 meses de garantia,4–6 meses
"TODOS LOS ARTICULOS TIENEN GARANTIA DE CALIDAD Y ORIGINALIDAD !!! MAS DE 2850 CALIFICACIONES POSITIVAS ME AVALAN !!! LOS MEJORES ARTICULOS DE CAZA, PESCA Y DEFENSA PERSONAL, POR CALIDAD Y PRECIO !!!!",Reputación del vendedor
Sin garantía,Sin garantía
Sin garantía,Sin garantía
seis meses.,4–6 meses
Terrafertil brinda la garantía de una empresa líder en su rubro.,Con garantía
"POR FAVOR, TENGA A BIEN LEER MIS CALIFICACIONES COMO VENDEDOR",Reputación del vendedor
3 meses de garantia,Hasta 3 meses
"garantía de calidad Tango Gamer, desde hace más de 7 años en las comunidades de Mercadolibre y Deremate",Reputación del vendedor
"los mejores libros de derecho, digitalizados a partir de los ejemplares de las mejores bibliotecas. Biblioteca del congreso, uba derecho, csjn, scpba, de la legislatura de la ciudad de buenos aires etc.",Sin garantía
DE MERCADO LIBRE ABONANDO CON MERCADO PAGO,Sin garantía
PRODUCTO NUEVO,Sin garantía
"Todo nuestro material se encuentra completo y en muy buen estado. Nuestra reputación nos respalda. 
EMITIMOS FACTURA.",Reputación del vendedor
Mg,Sin garantía
"Garantía de Satisfaccion, producto Original",Con garantía
30 días,Hasta 3 meses
Sí,Con garantía
GARANTIA escrita 5 AÑOS - Entregas a domcilio  por sistema de reparto o bien se podrán retirar personalmente por nuestro local de Capital (Chacarita).,5+ años
Despachos a todo el pais por MICRO,Sin garantía
Vea las calificaciones de mis productos vendidos.,Reputación del vendedor
Producto nuevo en Caja,Sin garantía
100% PIEZAS ORIGINALES GARANTIZADAS,Con garantía
Sí,Con garantía
Sí,Con garantía
CON GARANTIA DE FABRICA ORIGINAL MOPAR,Garantía de fábrica
Garantía por escrito en todos nuestros productos.,Con garantía
el producto se entrega nuevo,Sin garantía
GARANTÍA DE CALIDAD ONASAEZ,Con garantía
